DATE,BOEPRUKA
1900-01-01,3.96
1901-01-01,3.75
1902-01-01,3.33
1903-01-01,3.75
1904-01-01,3.29
1905-01-01,3.01
1906-01-01,4.27
1907-01-01,4.93
1908-01-01,3.00
1909-01-01,3.11
1910-01-01,3.72
1911-01-01,3.47
1912-01-01,3.78
1913-01-01,4.77
1914-01-01,4.04
1915-01-01,5.00
1916-01-01,5.47
1917-01-01,5.15
1918-01-01,5.00
1919-01-01,5.15
1920-01-01,6.71
1921-01-01,6.09
1922-01-01,3.69
1923-01-01,3.49
1924-01-01,4.00
1925-01-01,4.58
1926-01-01,5.00
1927-01-01,4.65
1928-01-01,4.50
1929-01-01,5.50
1930-01-01,3.41
1931-01-01,3.97
1932-01-01,3.00
1933-01-01,2.00
1934-01-01,2.00
1935-01-01,2.00
1936-01-01,2.00
1937-01-01,2.00
1938-01-01,2.00
1939-01-01,2.27
1940-01-01,2.00
1941-01-01,2.00
1942-01-01,2.00
1943-01-01,2.00
1944-01-01,2.00
1945-01-01,2.00
1946-01-01,2.00
1947-01-01,2.00
1948-01-01,2.00
1949-01-01,2.00
1950-01-01,2.00
