DATE,NGDPMPUKA
1900-01-01,1969
1901-01-01,1984
1902-01-01,1994
1903-01-01,1970
1904-01-01,1973
1905-01-01,2040
1906-01-01,2118
1907-01-01,2195
1908-01-01,2099
1909-01-01,2139
1910-01-01,2224
1911-01-01,2312
1912-01-01,2407
1913-01-01,2503
1914-01-01,2533
1915-01-01,3034
1916-01-01,3516
1917-01-01,4350
1918-01-01,5163
1919-01-01,5545
1920-01-01,6119
1921-01-01,4800
1922-01-01,4361
1923-01-01,4163
1924-01-01,4272
1925-01-01,4411
1926-01-01,4255
1927-01-01,4500
1928-01-01,4500
1929-01-01,4591
1930-01-01,4515
1931-01-01,4224
1932-01-01,4133
1933-01-01,4206
1934-01-01,4421
1935-01-01,4619
1936-01-01,4881
1937-01-01,5220
1938-01-01,5384
1939-01-01,5791
1940-01-01,7030
1941-01-01,8470
1942-01-01,9281
1943-01-01,9878
1944-01-01,9964
1945-01-01,9697
1946-01-01,9756
1947-01-01,10544
1948-01-01,11581
1949-01-01,12343
1950-01-01,12920
